series_code,date,value,period,value_raw,year,month,mom_pct,yoy_pct,series_name,series_name_api,series_title_api,frequency,unit,theme,priority,source
PN01272PM,2022-08-01,6.125283,Ago.2022,6.125283,2022,8,12.958477275740755,45.87705522248893,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-09-01,6.679849,Sep.2022,6.679849,2022,9,9.053720456671144,44.7054004841747,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-10-01,7.050724,Oct.2022,7.050724,2022,10,5.552146463190999,34.8961508791241,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-11-01,7.604861,Nov.2022,7.604861,2022,11,7.859292180490973,35.71180356375716,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-12-01,8.45916200000001,Dic.2022,8.45916200000001,2022,12,11.233617550669361,31.549808511339748,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2023-01-01,0.226446521871514,Ene.2023,0.226446521871514,2023,1,-97.323062002223,507.6165124812971,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2023-02-01,0.521635968384112,Feb.2023,0.521635968384112,2023,2,130.35724464785056,49.53444799452986,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2023-03-01,1.78166137776354,Mar.2023,1.78166137776354,2023,3,241.55263167197768,-2.995124999806742,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2023-04-01,2.34782378274321,Abr.2023,2.34782378274321,2023,4,31.777217155055283,-16.63244424666682,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2023-05-01,2.67314807392666,May.2023,2.67314807392666,2023,5,13.85641859387503,-16.75216021544643,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2023-06-01,2.5162945662442,Jun.2023,2.5162945662442,2023,6,-5.867744821634746,-43.32581821104428,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2023-07-01,2.91720122270536,Jul.2023,2.91720122270536,2023,7,15.932421499425242,-46.2028761734394,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2023-08-01,3.30430637109292,Ago.2023,3.30430637109292,2023,8,13.269744485728886,-46.054633376238776,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2023-09-01,3.32125099767966,Sep.2023,3.32125099767966,2023,9,0.5128043432950591,-50.279549767073185,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
